StudentID,CourseID
1,68
2,121
3,92
4,144
5,22
6,129
7,8
8,166
9,58
10,24
11,124
12,151
13,150
14,99
15,92
16,87
17,18
18,199
19,127
20,160
21,25
22,22
23,73
24,129
25,105
26,200
27,43
28,185
29,125
30,67
31,87
32,2
33,160
34,91
35,70
36,70
37,81
38,73
39,146
40,178
41,159
42,125
43,78
44,185
45,30
46,57
47,41
48,129
49,69
50,165
51,27
52,7
53,164
54,2
55,188
56,69
57,1
58,154
59,20
60,45
61,183
62,96
63,96
64,188
65,10
66,91
67,19
68,114
69,28
70,191
71,30
72,100
73,18
74,175
75,56
76,147
77,132
78,5
79,191
80,36
81,3
82,5
83,89
84,188
85,196
86,161
87,66
88,158
89,33
90,108
91,128
92,19
93,112
94,119
95,131
96,73
97,163
98,70
99,127
100,32
101,172
102,184
103,72
104,73
105,68
106,57
107,92
108,4
109,13
110,22
111,146
112,112
113,25
114,111
115,163
116,59
117,51
118,78
119,100
120,14
121,70
122,20
123,27
124,87
125,22
126,19
127,133
128,5
129,94
130,99
131,34
132,170
133,68
134,67
135,29
136,34
137,9
138,87
139,49
140,191
141,137
142,175
143,15
144,180
145,16
146,70
147,91
148,18
149,23
150,200
151,101
152,70
153,28
154,192
155,172
156,126
157,14
158,47
159,75
160,68
161,119
162,100
163,63
164,178
165,163
166,111
167,43
168,50
169,174
170,41
171,56
172,58
173,9
174,26
175,61
176,101
177,177
178,173
179,156
180,102
181,151
182,32
183,59
184,149
185,38
186,124
187,6
188,68
189,176
190,177
191,39
192,91
193,15
194,101
195,120
196,43
197,1
198,136
199,100
200,99
201,88
202,161
203,124
204,17
205,55
206,168
207,195
208,110
209,135
210,36
211,99
212,12
213,56
214,131
215,121
216,88
217,180
218,68
219,161
220,119
221,191
222,189
223,191
224,133
225,150
226,74
227,186
228,177
229,163
230,36
231,102
232,171
233,62
234,159
235,100
236,39
237,77
238,47
239,19
240,140
241,6
242,27
243,196
244,37
245,95
246,3
247,48
248,181
249,141
250,74
251,41
252,48
253,115
254,97
255,164
256,51
257,58
258,16
259,121
260,48
261,143
262,50
263,153
264,48
265,197
266,61
267,17
268,1
269,26
270,130
271,79
272,180
273,182
274,36
275,122
276,44
277,173
278,22
279,172
280,9
281,42
282,151
283,26
284,180
285,44
286,102
287,157
288,1
289,189
290,138
291,165
292,30
293,160
294,9
295,138
296,38
297,83
298,102
299,38
300,131
301,1
302,147
303,38
304,107
305,128
306,108
307,99
308,79
309,180
310,83
311,101
312,187
313,112
314,161
315,173
316,165
317,44
318,129
319,192
320,7
321,28
322,160
323,94
324,9
325,179
326,117
327,88
328,50
329,120
330,104
331,193
332,16
333,84
334,23
335,118
336,40
337,28
338,14
339,30
340,159
341,130
342,79
343,121
344,84
345,105
346,174
347,61
348,6
349,196
350,97
351,182
352,99
353,160
354,197
355,165
356,149
357,29
358,76
359,120
360,151
361,100
362,95
363,88
364,65
365,44
366,106
367,41
368,187
369,98
370,174
371,131
372,65
373,172
374,29
375,165
376,2
377,176
378,107
379,124
380,112
381,180
382,154
383,156
384,35
385,15
386,9
387,177
388,52
389,42
390,166
391,120
392,199
393,108
394,52
395,180
396,85
397,139
398,55
399,28
400,178
401,124
402,33
403,32
404,89
405,184
406,80
407,15
408,5
409,120
410,184
411,41
412,189
413,85
414,144
415,109
416,31
417,41
418,85
419,127
420,1
421,7
422,65
423,148
424,71
425,18
426,131
427,191
428,197
429,49
430,47
431,79
432,113
433,197
434,109
435,154
436,60
437,35
438,96
439,90
440,80
441,146
442,197
443,96
444,1
445,121
446,4
447,151
448,37
449,68
450,15
451,72
452,187
453,164
454,176
455,169
456,152
457,53
458,42
459,82
460,94
461,17
462,77
463,131
464,148
465,102
466,168
467,103
468,90
469,143
470,56
471,47
472,160
473,65
474,21
475,132
476,13
477,178
478,113
479,177
480,123
481,163
482,33
483,19
484,155
485,52
486,24
487,185
488,183
489,57
490,186
491,147
492,15
493,149
494,177
495,21
496,152
497,154
498,107
499,123
500,68
501,22
502,121
503,166
504,145
505,21
506,146
507,26
508,163
509,89
510,21
511,63
512,112
513,42
514,117
515,77
516,9
517,144
518,179
519,98
520,181
521,109
522,175
523,151
524,199
525,43
526,189
527,61
528,8
529,97
530,147
531,89
532,113
533,200
534,63
535,106
536,80
537,87
538,58
539,36
540,151
541,160
542,84
543,103
544,148
545,87
546,73
547,180
548,1
549,178
550,71
551,39
552,60
553,117
554,130
555,8
556,159
557,193
558,67
559,127
560,35
561,130
562,72
563,1
564,131
565,31
566,20
567,11
568,41
569,183
570,112
571,107
572,115
573,154
574,31
575,180
576,97
577,67
578,44
579,124
580,38
581,65
582,83
583,18
584,22
585,119
586,49
587,82
588,84
589,51
590,178
591,18
592,90
593,74
594,5
595,200
596,142
597,80
598,11
599,4
600,166
601,103
602,144
603,116
604,41
605,8
606,65
607,188
608,185
609,152
610,111
611,149
612,43
613,79
614,129
615,36
616,178
617,107
618,28
619,124
620,10
621,96
622,79
623,183
624,199
625,97
626,86
627,156
628,181
629,162
630,93
631,4
632,24
633,142
634,134
635,71
636,4
637,131
638,130
639,107
640,200
641,69
642,167
643,43
644,11
645,137
646,109
647,6
648,123
649,118
650,53
651,83
652,153
653,160
654,12
655,74
656,16
657,199
658,33
659,15
660,140
661,53
662,29
663,34
664,120
665,152
666,127
667,88
668,162
669,172
670,26
671,42
672,37
673,60
674,134
675,138
676,59
677,79
678,5
679,171
680,24
681,179
682,175
683,130
684,172
685,193
686,75
687,171
688,103
689,27
690,129
691,64
692,122
693,161
694,72
695,22
696,180
697,178
698,137
699,149
700,102
701,107
702,179
703,119
704,41
705,174
706,115
707,132
708,125
709,43
710,106
711,160
712,149
713,136
714,37
715,192
716,108
717,22
718,66
719,107
720,167
721,139
722,30
723,65
724,114
725,56
726,63
727,181
728,30
729,163
730,71
731,120
732,103
733,112
734,141
735,73
736,16
737,38
738,127
739,129
740,170
741,156
742,163
743,89
744,55
745,38
746,113
747,3
748,60
749,179
750,192
751,92
752,184
753,184
754,53
755,42
756,41
757,154
758,144
759,85
760,4
761,174
762,28
763,103
764,152
765,61
766,23
767,44
768,131
769,51
770,16
771,84
772,85
773,178
774,56
775,170
776,131
777,185
778,68
779,3
780,26
781,188
782,141
783,113
784,39
785,84
786,189
787,18
788,27
789,40
790,194
791,127
792,127
793,96
794,114
795,34
796,126
797,167
798,81
799,71
800,75
801,108
802,16
803,189
804,89
805,48
806,91
807,161
808,185
809,32
810,10
811,74
812,82
813,118
814,154
815,193
816,37
817,175
818,177
819,84
820,27
821,131
822,90
823,150
824,18
825,127
826,77
827,48
828,198
829,139
830,175
831,191
832,76
833,108
834,107
835,40
836,163
837,166
838,124
839,190
840,64
841,199
842,74
843,150
844,175
845,161
846,172
847,170
848,185
849,123
850,62
851,80
852,10
853,40
854,104
855,63
856,150
857,87
858,151
859,96
860,196
861,180
862,6
863,28
864,67
865,97
866,186
867,52
868,142
869,191
870,32
871,58
872,200
873,18
874,111
875,136
876,141
877,162
878,86
879,36
880,161
881,12
882,65
883,146
884,121
885,64
886,42
887,129
888,69
889,120
890,124
891,7
892,159
893,103
894,52
895,71
896,163
897,128
898,53
899,115
900,107
901,189
902,99
903,122
904,78
905,117
906,171
907,64
908,63
909,150
910,160
911,28
912,34
913,107
914,159
915,45
916,14
917,93
918,29
919,95
920,109
921,75
922,90
923,9
924,118
925,73
926,151
927,10
928,93
929,175
930,92
931,33
932,185
933,48
934,140
935,70
936,153
937,23
938,136
939,134
940,171
941,176
942,81
943,57
944,61
945,42
946,89
947,84
948,59
949,129
950,191
951,80
952,75
953,189
954,31
955,180
956,117
957,68
958,166
959,165
960,130
961,99
962,191
963,69
964,92
965,197
966,80
967,14
968,113
969,66
970,57
971,1
972,184
973,7
974,147
975,157
976,8
977,6
978,104
979,179
980,103
981,145
982,199
983,99
984,135
985,55
986,51
987,140
988,171
989,53
990,169
991,100
992,113
993,175
994,107
995,73
996,106
997,79
998,175
999,61
1000,88
1001,73
1002,142
1003,155
1004,50
1005,157
1006,131
1007,118
1008,188
1009,40
1010,69
1011,15
1012,104
1013,41
1014,162
1015,167
1016,8
1017,38
1018,78
1019,93
1020,87
1021,195
1022,87
1023,14
1024,124
1025,68
1026,110
1027,45
1028,48
1029,97
1030,93
1031,14
1032,94
1033,134
1034,164
1035,16
1036,151
1037,190
1038,139
1039,127
1040,32
1041,31
1042,196
1043,75
1044,110
1045,172
1046,59
1047,135
1048,107
1049,119
1050,80
1051,68
1052,123
1053,29
1054,138
1055,169
1056,180
1057,45
1058,147
1059,175
1060,173
1061,194
1062,200
1063,137
1064,171
1065,160
1066,177
1067,7
1068,50
1069,194
1070,89
1071,20
1072,172
1073,34
1074,10
1075,105
1076,123
1077,144
1078,94
1079,50
1080,25
1081,197
1082,155
1083,14
1084,51
1085,194
1086,94
1087,68
1088,155
1089,61
1090,193
1091,131
1092,135
1093,50
1094,107
1095,72
1096,198
1097,195
1098,65
1099,91
1100,188
1101,174
1102,151
1103,126
1104,144
1105,174
1106,30
1107,174
1108,53
1109,83
1110,123
1111,68
1112,2
1113,9
1114,16
1115,36
1116,30
1117,187
1118,23
1119,83
1120,3
1121,93
1122,191
1123,62
1124,15
1125,188
1126,129
1127,84
1128,163
1129,116
1130,37
1131,149
1132,130
1133,176
1134,40
1135,13
1136,116
1137,13
1138,185
1139,98
1140,43
1141,4
1142,88
1143,103
1144,136
1145,49
1146,53
1147,53
1148,95
1149,16
1150,64
1151,33
1152,122
1153,33
1154,191
1155,65
1156,115
1157,183
1158,94
1159,93
1160,45
1161,198
1162,127
1163,74
1164,191
1165,25
1166,29
1167,86
1168,200
